customer_id,email,country,created_at,is_email_valid
1,user1@example.com,DE,2024-01-04 23:17:00,True
2,user2@example.com,PL,2024-01-29 04:47:00,True
3,user3@example.com,DE,2024-03-27 23:57:00,True
4,user4@example.com,CZ,2024-01-12 18:27:00,True
5,user5@example.com,US,2024-01-04 02:13:00,True
6,user6@example.com,PL,2024-03-05 19:01:00,True
7,user7@example.com,CZ,2024-01-26 22:41:00,True
8,user8@example.com,CZ,2024-02-23 07:28:00,True
9,user9@example.com,SE,2024-02-05 00:48:00,True
10,user10@example.com,UA,2024-03-30 13:21:00,True
11,user11@example.com,FR,2024-01-20 06:48:00,True
12,user12@example.com,IT,2024-01-14 02:24:00,True
13,user13@example.com,DE,2024-02-15 11:38:00,True
14,user14@example.com,FR,2024-01-06 23:29:00,True
15,user15@example.com,CZ,2024-01-16 12:05:00,True
16,user16@example.com,CZ,2024-02-07 20:39:00,True
17,user17@example.com,IT,2024-03-14 06:45:00,True
18,user18@example.com,DE,2024-01-06 21:14:00,True
19,user19@example.com,FR,2024-01-11 07:55:00,True
20,user20@example.com,DE,2024-02-18 08:29:00,True
21,user21@example.com,IT,2024-01-21 11:22:00,True
22,user22@example.com,PL,2024-03-26 08:44:00,True
23,user23@example.com,DE,2024-03-18 20:10:00,True
24,user24@example.com,CZ,2024-02-01 05:29:00,True
25,user25@example.com,ES,2024-02-04 20:44:00,True
26,user26@example.com,CZ,2024-01-29 21:20:00,True
27,user27@example.com,US,2024-01-30 01:51:00,True
28,user28@example.com,IT,2024-02-21 08:04:00,True
29,user29@example.com,PL,2024-03-13 22:20:00,True
30,user30@example.com,PL,2024-03-24 15:25:00,True
31,user31@example.com,NL,2024-01-19 08:08:00,True
32,user32@example.com,PL,2024-03-12 17:16:00,True
33,user33@example.com,SE,2024-02-24 18:25:00,True
34,user34@example.com,IT,2024-01-29 04:32:00,True
35,user35@example.com,NL,2024-01-12 01:55:00,True
36,user36@example.com,DE,2024-01-20 20:10:00,True
37,user37@example.com,ES,2024-03-17 02:24:00,True
38,user38@example.com,ES,2024-03-17 14:33:00,True
39,user39@example.com,FR,2024-03-11 00:43:00,True
40,user40@example.com,DE,2024-03-28 17:48:00,True
41,user41@example.com,FR,2024-03-23 10:07:00,True
42,user42@example.com,FR,2024-02-25 05:29:00,True
43,user43@example.com,US,2024-02-03 16:48:00,True
44,user44@example.com,UA,2024-03-05 03:55:00,True
45,user45@example.com,FR,2024-03-22 16:38:00,True
46,user46@example.com,PL,2024-01-20 11:48:00,True
47,user47@example.com,UA,2024-03-10 16:58:00,True
48,user48@example.com,US,2024-03-17 10:31:00,True
49,user49@example.com,US,2024-01-15 11:56:00,True
50,user50@example.com,FR,2024-01-31 01:15:00,True
51,user51@example.com,SE,2024-01-11 02:46:00,True
52,user52@example.com,NL,2024-01-09 17:49:00,True
53,user53@example.com,UA,2024-01-17 21:30:00,True
54,user54@example.com,CZ,2024-01-22 08:33:00,True
55,user55@example.com,SE,2024-02-24 06:59:00,True
56,user56@example.com,CZ,2024-03-29 06:45:00,True
57,user57@example.com,FR,2024-02-21 21:41:00,True
58,user58@example.com,IT,2024-02-26 16:28:00,True
59,user59@example.com,DE,2024-02-01 07:04:00,True
60,user60@example.com,IT,2024-01-03 18:35:00,True
61,user61@example.com,PL,2024-03-16 07:00:00,True
62,user62@example.com,DE,2024-03-31 20:03:00,True
63,user63@example.com,PL,2024-01-09 01:55:00,True
64,user64@example.com,IT,2024-01-10 16:15:00,True
65,user65@example.com,FR,2024-03-26 15:13:00,True
66,user66@example.com,CZ,2024-01-17 23:59:00,True
67,user67@example.com,SE,2024-03-14 15:15:00,True
68,user68@example.com,NL,2024-02-22 06:06:00,True
69,user69@example.com,DE,2024-03-25 13:22:00,True
70,user70@example.com,ES,2024-02-22 14:55:00,True
71,user71@example.com,US,2024-03-27 20:41:00,True
72,user72@example.com,DE,2024-01-08 12:46:00,True
73,user73@example.com,IT,2024-01-14 07:12:00,True
74,user74@example.com,PL,2024-03-09 14:08:00,True
75,user75@example.com,ES,2024-01-24 08:29:00,True
76,user76@example.com,PL,2024-01-10 14:51:00,True
77,user77@example.com,CZ,2024-01-13 01:41:00,True
78,user78@example.com,CZ,2024-01-02 02:59:00,True
79,user79@example.com,PL,2024-01-22 13:31:00,True
80,user80@example.com,NL,2024-01-28 12:57:00,True
81,user81@example.com,US,2024-01-22 12:00:00,True
82,user82@example.com,ES,2024-02-03 14:18:00,True
83,user83@example.com,ES,2024-03-30 23:50:00,True
